viento,v_viento,p_ola,m_ola,presion,temperatura,clase
0.368737,0.319066,0.181315,0.206508,0.720755,0.366337,1
0.242682,0.155642,0.903806,0.206508,0.768553,0.841584,0
0.04274,0.085603,0.258131,0.206508,0.773585,0.544554,0
0.360318,0.361868,0.37301,0.206508,0.791195,0.29703,1
0.159119,0.202335,0.290657,0.206508,0.793711,0.29703,0
0.518105,0.455253,0.160554,0.206508,0.828931,0.138614,1
0.228412,0.237354,0.181315,0.206508,0.891824,0.930693,0
0.255678,0.217899,0.229066,0.20776,0.752201,0.841584,0
0.263526,0.252918,0.181315,0.20776,0.801258,0.534653,0
0.242195,0.459144,0.425606,0.209011,0.603774,0.851485,0
0.376517,0.326848,0.750865,0.209011,0.684277,0.366337,1
0.348631,0.22179,0.290657,0.209011,0.704403,0.841584,1
0.591598,0.571984,0.181315,0.209011,0.710692,0.326733,2
0.351426,0.33463,0.425606,0.209011,0.719497,0.762376,1
0.31841,0.303502,0.160554,0.209011,0.743057,0.148515,0
0.230467,0.229572,0.229066,0.209011,0.754717,0.70297,0
0.539842,0.478599,0.229066,0.209011,0.755975,0.841584,1
0.123926,0.081712,0.20346,0.209011,0.81761,0.871287,0
0.40536,0.385214,0.229066,0.209011,0.818868,0.287129,0
0.434783,0.361868,0.20346,0.209011,0.87044,0.673267,1
0.289114,0.459144,0.229066,0.210263,0.543396,0.861386,2
0.405287,0.381323,0.32872,0.210263,0.586164,0.891089,1
0.223325,0.18677,0.903806,0.210263,0.662893,0.821782,0
0.351426,0.354086,0.229066,0.210263,0.683019,0.80198,0
0.419664,0.463035,0.229066,0.210263,0.703145,0.128713,1
0.290543,0.342412,0.258131,0.210263,0.706918,0.574257,1
0.42994,0.338521,0.37301,0.210263,0.815937,0.415842,1
0.396402,0.338521,0.160554,0.211514,0.599057,0.079208,1
0.505024,0.55642,0.229066,0.211514,0.633497,0.158416,2
0.51733,0.365759,0.229066,0.211514,0.65283,0.643564,1
0.129153,0.14786,0.258131,0.211514,0.728302,0.633663,0
0.304342,0.280156,0.258131,0.211514,0.753459,0.950495,0
0.440384,0.377432,0.20346,0.211514,0.754717,0.831683,1
0.309668,0.357977,0.160554,0.211514,0.784906,0.524752,0
0.369039,0.354086,0.32872,0.211514,0.787421,0.910891,1
0.325151,0.233463,0.689273,0.211514,0.945912,0.079208,0
0.377854,0.36965,0.32872,0.212766,0.522013,0.742574,1
0.089833,0.182879,0.635294,0.212766,0.559748,0.752475,0
0.451773,0.459144,0.20346,0.212766,0.586164,0.831683,2
0.379421,0.361868,0.425606,0.212766,0.602516,0.118812,1
0.356139,0.322957,0.20346,0.212766,0.690566,0.554455,0
0.194489,0.178988,0.20346,0.212766,0.750943,0.514851,0
0.236807,0.229572,0.544637,0.212766,0.754717,0.326733,0
0.533006,0.498054,0.290657,0.212766,0.755975,0.841584,2
0.257805,0.233463,0.160554,0.212766,0.760805,0.148515,0
0.305216,0.264591,0.229066,0.212766,0.76478,0.534653,0
0.397224,0.396887,0.229066,0.212766,0.796314,0.356436,0
0.320219,0.249027,0.229066,0.212766,0.822642,0.811881,0
0.440384,0.435798,0.229066,0.214018,0.732075,0.920792,1
0.683114,0.505837,0.229066,0.214018,0.759748,0.762376,2
0.059969,0.054475,0.20346,0.214018,0.8,0.871287,0
0.445964,0.40856,0.20346,0.214018,0.861635,0.841584,1
0.321741,0.268482,0.258131,0.214018,0.877824,0.069307,0
0.326809,0.322957,0.20346,0.214018,0.920365,0.386139,1
0.502722,0.466926,0.20346,0.215269,0.480503,0.742574,1
0.472495,0.505837,0.258131,0.215269,0.654088,0.762376,1
0.338803,0.338521,0.181315,0.215269,0.720755,0.376238,0
0.165432,0.245136,0.290657,0.215269,0.750943,0.861386,0
0.501004,0.377432,0.125952,0.215269,0.762264,0.782178,1
0.144842,0.233463,0.32872,0.216521,0.48805,0.554455,0
0.26822,0.322957,0.229066,0.216521,0.623899,0.574257,1
0.250812,0.276265,0.425606,0.216521,0.654088,0.772277,1
0.389834,0.350195,0.32872,0.216521,0.685535,0.910891,0
0.139977,0.062257,0.229066,0.216521,0.700629,0.90099,0
0.332269,0.346304,0.181315,0.216521,0.789459,0.366337,1
0.238606,0.256809,0.258131,0.216521,0.827673,0.287129,0
0.321026,0.284047,0.229066,0.216521,0.831447,0.811881,0
0.209623,0.217899,0.229066,0.216521,0.841509,0.891089,0
0.282938,0.350195,0.425606,0.217772,0.627673,0.772277,0
0.252337,0.303502,0.160554,0.217772,0.666667,0.90099,0
0.456174,0.233463,0.20346,0.217772,0.693082,0.841584,1
0.404646,0.307393,0.32872,0.217772,0.708176,0.841584,1
0.309692,0.315175,0.37301,0.217772,0.792453,0.891089,0
0.279997,0.237354,0.37301,0.217772,0.803761,0.415842,0
0.335441,0.268482,0.37301,0.219024,0.683019,0.693069,0
0.353004,0.377432,0.290657,0.219024,0.793711,0.871287,1
0.509684,0.459144,0.587543,0.220275,0.587258,0.108911,1
0.538006,0.48249,0.181315,0.220275,0.587421,0.970297,2
0.424396,0.326848,0.290657,0.220275,0.669182,0.772277,1
0.35252,0.287938,0.160554,0.220275,0.703145,0.693069,0
0.416789,0.373541,0.290657,0.220275,0.724528,0.841584,1
0.326877,0.284047,0.32872,0.220275,0.797484,0.09901,0
0.404682,0.326848,0.32872,0.221527,0.656604,0.90099,1
0.38445,0.513619,0.37301,0.221527,0.683019,0.059406,1
0.415987,0.365759,0.258131,0.221527,0.689308,0.861386,1
0.42595,0.377432,0.258131,0.221527,0.72327,0.138614,1
0.188429,0.225681,0.229066,0.221527,0.724528,0.643564,0
0.202486,0.182879,0.20346,0.221527,0.72956,0.574257,0
0.290135,0.29572,0.229066,0.221527,0.744654,0.514851,0
0.204221,0.151751,0.181315,0.221527,0.767296,0.722772,0
0.429733,0.36965,0.160554,0.221527,0.803774,0.277228,1
0.514823,0.455253,0.290657,0.221527,0.846541,0.514851,2
0.427446,0.389105,0.229066,0.221527,0.85205,0.069307,1
0.366458,0.330739,0.181315,0.221527,0.884277,0.663366,0
0.23987,0.2607,0.635294,0.221527,0.887019,0.376238,1
0.466799,0.466926,0.160554,0.222778,0.739623,0.277228,2
0.224804,0.233463,0.258131,0.222778,0.750943,0.693069,0
0.247287,0.214008,0.32872,0.22403,0.654088,0.792079,0
0.333249,0.229572,0.258131,0.22403,0.67044,0.980198,0
0.413679,0.346304,0.290657,0.22403,0.69434,0.584158,1
0.282807,0.311284,0.587543,0.22403,0.698113,0.742574,0
0.193846,0.198444,0.32872,0.22403,0.701887,0.445545,0
0.309764,0.459144,0.290657,0.225282,0.465409,0.554455,1
0.587507,0.478599,0.160554,0.225282,0.573585,0.80198,1
0.529815,0.478599,0.32872,0.225282,0.577358,0.762376,2
0.165918,0.175097,0.229066,0.225282,0.690566,0.861386,0
0.234619,0.198444,0.181315,0.225282,0.774843,0.564356,0
0.289012,0.225681,0.258131,0.225282,0.786164,0.287129,1
0.464566,0.307393,0.181315,0.225282,0.8,0.841584,1
0.131664,0.194553,0.821453,0.225282,0.900629,0.940594,0
0.380923,0.315175,0.290657,0.226533,0.641509,0.920792,1
0.237522,0.190661,0.635294,0.226533,0.684277,0.851485,0
0.520425,0.470817,0.37301,0.226533,0.745912,0.524752,2
0.151591,0.22179,0.488581,0.226533,0.754717,0.326733,0
0.369019,0.326848,0.32872,0.226533,0.938365,0.871287,1
0.742279,0.536965,0.181315,0.227785,0.420126,0.19802,2
0.557388,0.470817,0.125952,0.227785,0.451572,0.811881,1
0.473108,0.435798,0.290657,0.227785,0.52327,0.742574,1
0.352941,0.237354,0.587543,0.227785,0.695597,0.742574,0
0.177564,0.167315,0.229066,0.227785,0.695597,0.405941,0
0.35132,0.311284,0.903806,0.227785,0.739623,0.544554,0
0.016974,0.101167,0.821453,0.227785,0.742138,0.643564,0
0.231615,0.167315,0.290657,0.227785,0.763522,0.722772,0
0.232758,0.136187,0.635294,0.227785,0.763975,0.465347,0
0.591498,0.583658,0.20346,0.227785,0.792453,0.920792,3
0.480604,0.40856,0.32872,0.229036,0.573585,0.881188,1
0.524751,0.455253,0.20346,0.229036,0.605031,0.623762,2
0.391278,0.400778,0.20346,0.229036,0.610063,0.049505,1
0.458173,0.513619,0.20346,0.229036,0.630189,0.851485,1
0.320773,0.237354,0.229066,0.229036,0.857346,0.435644,0
0.613344,0.416342,0.425606,0.230288,0.606616,0.039604,1
0.367266,0.299611,0.20346,0.230288,0.664151,0.574257,1
0.406074,0.416342,0.425606,0.230288,0.669182,0.851485,1
0.196406,0.178988,0.20346,0.230288,0.749686,0.881188,0
0.082684,0.054475,0.258131,0.230288,0.766038,0.29703,0
0.284371,0.229572,0.258131,0.230288,0.802516,0.60396,0
0.377068,0.326848,0.229066,0.230288,0.812579,0.80198,0
0.458075,0.435798,0.290657,0.230288,0.816352,0.831683,1
0.229987,0.225681,0.142561,0.230288,0.826252,0.405941,0
0.285719,0.276265,0.37301,0.230288,0.908252,0.415842,0
0.500306,0.544747,0.160554,0.231539,0.583648,0.267327,2
0.488275,0.435798,0.181315,0.231539,0.659119,0.049505,1
0.280155,0.093385,0.32872,0.231539,0.664151,0.663366,0
0.247019,0.178988,0.32872,0.231539,0.67044,0.782178,0
0.345043,0.319066,0.20346,0.231539,0.674214,0.782178,1
0.452594,0.466926,0.229066,0.232791,0.460377,0.643564,1
0.724023,0.564202,0.229066,0.232791,0.509522,0.069307,2
0.398697,0.330739,0.37301,0.232791,0.6,0.623762,1
0.346906,0.404669,0.20346,0.232791,0.616352,0.128713,1
0.40653,0.350195,0.290657,0.232791,0.621384,0.861386,1
0.436879,0.428016,0.160554,0.232791,0.632704,0.831683,1
0.211127,0.22179,0.32872,0.232791,0.640252,0.891089,0
0.217073,0.2607,0.229066,0.232791,0.701887,0.376238,0
0.348461,0.245136,0.37301,0.232791,0.701887,0.693069,0
0.180066,0.287938,0.290657,0.232791,0.71195,0.70297,0
0.26877,0.190661,0.37301,0.232791,0.725786,0.821782,0
0.204473,0.202335,0.544637,0.232791,0.754717,0.336634,0
0.692935,0.571984,0.160554,0.232791,0.77873,0.039604,2
0.421658,0.404669,0.635294,0.232791,0.779874,0.683168,1
0.390955,0.490272,0.37301,0.232791,0.784906,0.871287,1
0.256283,0.229572,0.750865,0.232791,0.786164,0.237624,0
0.453692,0.357977,0.425606,0.234043,0.630189,0.772277,1
0.492217,0.361868,0.37301,0.234043,0.633396,0.029703,1
0.258091,0.151751,0.32872,0.234043,0.647799,0.881188,0
0.599981,0.533074,0.20346,0.234043,0.665409,0.475248,2
0.182011,0.214008,0.258131,0.234043,0.720755,0.693069,0
0.497863,0.463035,0.160554,0.234043,0.743396,0.782178,1
0.257203,0.249027,0.488581,0.234043,0.771069,0.336634,0
0.360729,0.400778,0.37301,0.235294,0.475472,0.673267,1
0.574338,0.439689,0.229066,0.235294,0.538365,0.831683,2
